Name,Brand,Category,Image URL,Price,MSRP,Units Available,,455
WOOD CRVED BWN 53X64 WALL MIR,Arhaus,Mirrors,https://storage.googleapis.com/floorfound-prod-cdn/arhaus/products/images/c52b4913-a79f-4c50-a7bc-9271a34c7c6e.jpg,$ 295 each,"$1,100",17,,
TEAK BATH BWN 28X35 WALL MIR,Arhaus,Mirrors,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Harrison_WallMirror_6002268_Brown_F-1-3mobile.jpg?v=1725387831,$ 121 each,$450,8,,
TAPERED BLK 30X47 WALL MIRROR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 214 each,$550,42,,
TAPERED BLK 30X47 WALL MIRROR,Arhaus,Mirrors,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/d08558a6-8ad6-4118-9517-f896301c8ca9.jpg,$ 121 each,$450,31,,
STRIPE BLACK OS WALL ART,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 72 each,$270,5,,
RECT OAK BWN 36X48 WALL MIR,Arhaus,Mirrors,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/e373e55f-5f2a-4727-92e9-807e34f94cd4.jpg,$ 402 each,"$1,300",22,,
PORTRAIT WHT 30X45 WALL MIRROR,Arhaus,Mirrors,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/24b86cc6-b3a3-42b6-8f2c-219c1c4bb1aa.jpg,$ 123 each,$460,33,,
PORTRAIT BLK 30X45 WALL MIRROR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 121 each,$450,15,,
PAPER MACHE 45X45 SQ SCULPTURE,Arhaus,Decor,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/PaperMacheWallArt_DimensionalArt_6002253_White_F-P01-2tablet.jpg?v=1720547156,$ 134 each,$500,83,,
PAPER MACHE 38X57 SQ SCULPTURE,Arhaus,Decor,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/PaperMacheWallArt_DimensionalArt_6002254_White_F-P01-2tablet.jpg?v=1720547153,$ 134 each,$500,69,,
PAPER MACHE 30X47 SQ SCULPTURE,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 121 each,$450,76,,
PAINTED WEAVE WH OS WALL ART,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 75 each,$280,37,,
OBLONG ANT BR 42X72 WALL MIR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 308 each,"$1,150",12,,
OAK CURVE BWN 48X48 WALL MIR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 80 each,$300,10,,
