Name,Brand,Category,Image URL,Price,MSRP,Units Available,,837
Haggen Light Brown Oak Wood w/ Cream Fabric Accent Chair,Mercana,Furniture,https://marketplace.mercana.com/images/0026919_71016_A.jpeg,"$ 1,499.99 each","$1,399",9,,
Townley Tall White w/ Black Ombre Metal Vase,Mercana,Decor,https://marketplace.mercana.com/images/0090269_70954_A.jpeg,$ 69.99 each,$59,37,,
Tucson Natural Wood w/ Round Black Oak Top Side Table,Mercana,Furniture,https://marketplace.mercana.com/images/0089706_70889-AB_A.jpeg,$ 549.99 each,N/A,9,,
Heera Light Brown Diamond Motif w/ Shelf Accent Cabinet,Mercana,Furniture,https://marketplace.mercana.com/images/0087205_70643_A.jpeg,"$ 1,449.99 each","$1,249",2,,
Tamuz Grass Baskets (Set of 2),Mercana,Decor,https://marketplace.mercana.com/images/0082683_70546_A.jpeg,$ 119.99 each,N/A,32,,
Vivian Gold Metal and Glass Hurricane Candle Holder (Set of 2),Mercana,Decor,https://marketplace.mercana.com/images/0084048_70539_A.jpeg,$ 109.99 each,$99,141,,
Ziva Large Distressed White Metal Sculptural Object,Mercana,Decor,https://marketplace.mercana.com/images/0084459_70535_A.jpeg,$ 59.99 each,$49,1,,
Athelia Light Wood Accent Table,Mercana,Furniture,https://marketplace.mercana.com/images/0066515_70151_A.jpeg,$ 489.99 each,$409,28,,
Atlas 15.0L x 7.0W x 16.0H Gold Metal Solar System Ornament,Mercana,Decor,https://marketplace.mercana.com/images/0052977_69996_A.jpeg,$ 134.99 each,$119,19,,
Juno 8.5H Large Black Iron Vase,Mercana,Decor,https://marketplace.mercana.com/images/0063134_69871_A.jpeg,$ 119.99 each,N/A,42,,
Juno 6.5H Medium Black Iron Vase,Mercana,Decor,https://marketplace.mercana.com/images/0066228_69870_A.jpeg,$ 78.99 each,$69,72,,
Misha 25.2L x 25.2W x 22.4H Cream Ceramic Floor Vase,Mercana,Decor,https://marketplace.mercana.com/images/0063112_69800_A.jpeg,$ 789.99 each,$909,22,,
Finley Set of 3 Black Metal W/Wood Wall Shelves,Mercana,Decor,https://marketplace.mercana.com/images/0056055_69669_A.jpeg,$ 129.99 each,$109,9,,
Lewiston 42.1L x 2.6W x 42.1H Black Iron W/Wood Round Wall Clock,Mercana,Decor,https://marketplace.mercana.com/images/0056238_69656_A.jpeg,$ 349.99 each,$339,13,,
Mae 20L x 20W Beige Fabric Decorative Pillow Cover,Mercana,Pillows & Rugs,https://marketplace.mercana.com/images/0046624_69445_A.jpeg,$ 55.99 each,$59,15,,
Thais 13L x 21W Gray Fabric Fringed Decorative Pillow Cover,Mercana,Pillows & Rugs,https://marketplace.mercana.com/images/0046595_69416_A.jpeg,$ 65.99 each,$59,8,,
Berbick 20.5 x 24.75 x 39 Medium Brown Leather W/ Iron Frame Counter Stool,Mercana,Furniture,https://marketplace.mercana.com/images/0043504_69277_A.jpeg,$ 829.99 each,$739,1,,
Lima Gunmetal Gray Metal Small Decorative Object,Mercana,Decor,https://marketplace.mercana.com/images/0042664_69249_A.jpeg,$ 39.99 each,$32,5,,
"Sophia 8.0""L x 6.0""W x 7.0""H Marble Set Of Two Bookends",Mercana,Decor,https://marketplace.mercana.com/images/0036376_69216_A.jpeg,$ 104.99 each,$99,72,,
Rafiki Two Blackened Silver Hammered Finish Metal Conjoined Circles,Mercana,Decor,https://marketplace.mercana.com/images/0066143_69163_A.jpeg,$ 93.99 each,$69,91,,
Krystal 13 x 21 Cream/Blue Pom Pom Decorative Pillow Cover,Mercana,Pillows & Rugs,https://marketplace.mercana.com/images/0034495_68890_A.jpeg,$ 41.99 each,$35,71,,
Patrice 22 x 22 Cream With Gray Stripes Decorative Pillow Cover,Mercana,Pillows & Rugs,https://marketplace.mercana.com/images/0034476_68871_A.jpeg,$ 63.99 each,$49,62,,
