Name,Brand,Image URL,Price,MSRP,Units Available,Category
Modesto Concrete Top Wood Base Dining Table in Natural Concrete and French Roast,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/20df0a2c6202ec5d30dba0b32c3e9335a68a878c/Modus_Furniture_Modesto_Concrete_Top_Wood_Base_Dining_Table_in_Natural_Concrete_and_French_Roast_655450331220_FPBL60_Image_1.jpg",$ 249 each,"$1,499",1,Furniture
Maxime California King Platform Bed in Ash,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/n7z9ohmmrynaaafoanar/Modus_Furniture_Maxime_Platform_Bed_655450395420_MSNFH__Image_1.jpg",$ 199 each,"$2,529",15,Furniture
Flex Queen-size Upholstered Bed in Blue Jeans Chenille,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/sf1ln2boppikdpcifyuh/Modus_Furniture_Flex_Upholstered_Bed_in_Blue_Jeans_Chenille_655450472404_SRXMH__Image_1.jpg",$ 199 each,"$2,509",166,Furniture
Batten Five Drawer Slatted Chest in Blonde Oak,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/zmiufckpcz55mfqal3qa/Modus_Furniture_Batten_Five_Drawer_Slatted_Chest_in_Blonde_Oak_655450418556_NERM84_Image_1.jpg",$ 299 each,"$2,479",1,Furniture
Autumn Sliding Door Bookcase in Flint Oak,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/bbbac17f7582176d59c6fd95dddf8070d5ed8049/Modus_Furniture_Autumn_Sliding_Door_Bookcase_in_Flint_Oak_655450342691_8FJ819BS_Image01.jpg",$ 99 each,"$1,869",45,Furniture
Oxford Queen-Size Platform Bed in Dolphin,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/xla9aj0qi8x2wjnso87d/Modus_Furniture_Oxford_Upholstered_Platform_Bed_in_Toast_AZU5F__Image_1.jpg",$ 299 each,"$2,109",70,Furniture
Cheviot King-Size Upholsterd Skirted Storage Panel Bed in Iron,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/f4d55c9ae07cdee2f2df09c1f7532de66a152588/Modus_Furniture_Cheviot_UpholsteredSkirted_Storage_Panel_Bed_in_Iron_655450313950_CBB3J_3_Image01.jpg",$ 299 each,"$3,229",5,Furniture
Herringbone Solid Wood Upholstered Dining Chair in Rustic Latte Set of 2,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/3ea4e42dfd21bcc12927dc71635591225e84f498/Modus_Furniture_Herringbone_Solid_Wood_Upholstered_Dining_Chair_in_Rustic_Latte_655450255595_5QS363B_Image_1.jpg",$ 29 each,$749,134,Furniture
Modesto Four Door Sideboard in French Roast,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/abf932b0f2558227e8c0c13cace0a6281dbe363e/Modus_Furniture_Modesto_Four_Door_Sideboard_in_French_Roast_655450334009_FPBL78_Image01.jpg",$ 399 each,"$4,129",1,Furniture
Modesto Rectangular Glass Top Dining Table in French Roast,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/0f3617e131ebd7f7bf9787fcc5943fbae898d8eb/Modus_Furniture_Modesto_Rectangular_Glass_Top_Dining_Table_in_French_Roast_655450331312_FPBL61_Image_1.jpg",$ 399 each,"$2,769",1,Furniture
