Pallet_ID,Client Id,Bulk Recommerce Short Id,Product SKU,Product Name,Original Price (MSRP),Primary Image,Category Name
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP7002-24-GY,"Contempo 24 Saddle Counter Stool, Gray",$ 56.99,http://images.salsify.com/image/upload/s--dWxW18L0--/kqdpkifv17frj7lcvjej.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID401-29-BK-LE,"29 Upholstered Nail Head Bar Stool,Black/Leather",$ 73.99,http://images.salsify.com/image/upload/s--i4JWgwnv--/wuebsz0pejf55ik9jqff.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,1101010,"4-Piece Conversation Outdoor Patio Sofa Set with Cushions, Black/Gray",$ 557.99,http://images.salsify.com/image/upload/s--cZJtxvAp--/g7np2rbrglloc5zayatz.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP7003-TQ,"24 Round Counter Bistro Table, Turquoise",$ 149.99,http://images.salsify.com/image/upload/s--Kc5InWk3--/rxhvkeeoc54zbbjznunj.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP7001-ST-BK,"Patio Bar Stool (Set of 2), Black",$ 233.99,http://images.salsify.com/image/upload/s--t-L-yQYo--/rthbnrd9uieaju1o1wnn.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001112,"Outdoor Folding Poly Adirondack Chair, Navy Blue",$ 157.99,http://images.salsify.com/image/upload/s--2NgYsu-t--/hfosocg5jcqtisxazcj2.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-RC-SD,"Outdoor Rocking Poly Adirondack Chair, Sand",$ 170.99,http://images.salsify.com/image/upload/s--hOegEvBo--/kbr76uqyiwcs9ptuikl6.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,UN150,unknown,$ 150,https://images.salsify.com/image/upload/s--UtlejNMS--/tlgrqtvbuymxfyldnxap,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001OT-BK,"Outdoor Adirondack Chair Folding Ottoman, Black",$ 51.99,http://images.salsify.com/image/upload/s--KG-Rxw9x--/zymwgukxoswtxug54yyi.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-RC-DKBR,"Outdoor Rocking Poly Adirondack Chair, Dark Brown",$ 170.99,http://images.salsify.com/image/upload/s--CTQbfgHF--/fhvj0pb492xaghfqy2yu.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-RC-RD,"Outdoor Rocking Poly Adirondack Chair, Red",$ 170.99,http://images.salsify.com/image/upload/s--afg5AK6u--/bjgxh6zyjeptjh2ayprf.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001031,"Outdoor Folding Poly Adirondack Chair, Red",$ 157.99,http://images.salsify.com/image/upload/s--zEC53Tpf--/pthsaa9t0kujigs9uojs.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001011,"Outdoor Folding Poly Adirondack Chair, White",$ 157.99,http://images.salsify.com/image/upload/s--L_VvRzxX--/d0hgg7ypkfcrth3f8n8j.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001262,"Outdoor Folding Poly Adirondack Chair, Weathered Wood",$ 157.99,http://images.salsify.com/image/upload/s--elbdPGFr--/z9sakv7zd41oc077k8da.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001262,"Outdoor Folding Poly Adirondack Chair, Weathered Wood",$ 157.99,http://images.salsify.com/image/upload/s--elbdPGFr--/z9sakv7zd41oc077k8da.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001311,"Outdoor Folding Poly Adirondack Chair, Dark Brown",$ 157.99,http://images.salsify.com/image/upload/s--spd2HivW--/lznygsgamhp6oej3t3ow.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001311,"Outdoor Folding Poly Adirondack Chair, Dark Brown",$ 157.99,http://images.salsify.com/image/upload/s--spd2HivW--/lznygsgamhp6oej3t3ow.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001311,"Outdoor Folding Poly Adirondack Chair, Dark Brown",$ 157.99,http://images.salsify.com/image/upload/s--spd2HivW--/lznygsgamhp6oej3t3ow.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID303-DT-LGY-2,"Linen Fabric Upholsted Dining Chair (Set of 2), Light Gray",$ 152.99,http://images.salsify.com/image/upload/s---nQlVzlY--/b2dyvp9hwukydrc6ptdt.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID303-DT-LGY-2,"Linen Fabric Upholsted Dining Chair (Set of 2), Light Gray",$ 152.99,http://images.salsify.com/image/upload/s---nQlVzlY--/b2dyvp9hwukydrc6ptdt.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001OT-TQ,"Outdoor Adirondack Chair Folding Ottoman, Turquoise",$ 51.99,http://images.salsify.com/image/upload/s--qYs3zl6A--/hb77fuavxx1ddbktbd1u.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001OT-TQ,"Outdoor Adirondack Chair Folding Ottoman, Turquoise",$ 51.99,http://images.salsify.com/image/upload/s--qYs3zl6A--/hb77fuavxx1ddbktbd1u.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-CS-DKBR,"Outdoor Poly Adirondack Side Table, Dark Brown",$ 37.99,http://images.salsify.com/image/upload/s--th_x688o--/eux1hcs0cgbcscr6nacd.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-CS-DKBR,"Outdoor Poly Adirondack Side Table, Dark Brown",$ 37.99,http://images.salsify.com/image/upload/s--th_x688o--/eux1hcs0cgbcscr6nacd.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-CS-DKBR,"Outdoor Poly Adirondack Side Table, Dark Brown",$ 37.99,http://images.salsify.com/image/upload/s--th_x688o--/eux1hcs0cgbcscr6nacd.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-CS-DKBR,"Outdoor Poly Adirondack Side Table, Dark Brown",$ 37.99,http://images.salsify.com/image/upload/s--th_x688o--/eux1hcs0cgbcscr6nacd.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-CS-DKBR,"Outdoor Poly Adirondack Side Table, Dark Brown",$ 37.99,http://images.salsify.com/image/upload/s--th_x688o--/eux1hcs0cgbcscr6nacd.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,P140-3PC-BK-BG,"3-Piece Woven Rattan Wicker Seating Set,Black/Beige",$ 204.99,http://images.salsify.com/image/upload/s--k7E36PH5--/uxrxrdlucm32fpp38dfi.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID305-GY,"Tufted Velvet Side Chair (Set of 2), Velvet Gray",$ 289.99,http://images.salsify.com/image/upload/s--6TX7fIB2--/olkkqelqzmjjj6uszakn.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,IA103-PK,"29.5 Wide Velvet Tufted Round Ottoman With Storage, Velvet Pink",$ 253.99,http://images.salsify.com/image/upload/s--So3M55Rj--/x1meltejrnuogg6olxqr.jpg,OTTOMANS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,IF3001-CE,"Water and Stain Resistant Boucle Upholstered  Task Chair, Cream",$ 174.99,http://images.salsify.com/image/upload/s--GADS8Svw--/wqzbjfbjcwrmabdn2axe.jpg,OFFICE_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,IA4003-CE,"25 Wide Water and Stain Resistant boucle Upholstered Accent Chair , Cream",$ 120.99,http://images.salsify.com/image/upload/s--5JfBmiSX--/fuqverulhcrgwwbogede.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001OT-LM,"Outdoor Adirondack Chair Folding Ottoman, Lime",$ 51.99,http://images.salsify.com/image/upload/s--Onmbn2Oo--/wjm44ujjszh46fglklsn.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP2011-WH,"Outdoor Adirondack Chair Folding Ottoman, White",$ 48.99,http://images.salsify.com/image/upload/s--1SfG5Mhi--/llddsgtywdxnj12pt4he.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP8001-LM,"Modern 18 Side Table,Lime",$ 48.99,http://images.salsify.com/image/upload/s--ci4AKnCR--/vcyq3ykjsop7rq6ipeh9.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID401-29-BK-LE,"29 Upholstered Nail Head Bar Stool,Black/Leather",$ 73.99,http://images.salsify.com/image/upload/s--i4JWgwnv--/wuebsz0pejf55ik9jqff.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID403-29-AG-OR-2,"29 Tufted Velvet Bar Stool (Set of 2), Antique Gray/Velvet Orange",$ 333.99,http://images.salsify.com/image/upload/s--v_RhjHKr--/xee0a0uhgl4zqziu8amq.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID406-CE,"26“ Water and Stain Resistant Boucle Upholstered Swivel Counter Stool, Cream",$ 162.99,http://images.salsify.com/image/upload/s--254XskgS--/e1pfannh8md4tm4gplyw.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID303-DT-LGY-2,"Linen Fabric Upholsted Dining Chair (Set of 2), Light Gray",$ 152.99,http://images.salsify.com/image/upload/s---nQlVzlY--/b2dyvp9hwukydrc6ptdt.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,ID401-29-AW-GY,"29 Upholstered Nail Head Bar Stool,Antique White/Gray",$ 73.99,http://images.salsify.com/image/upload/s--OzOYqwjd--/cvfjhnukqruah7gnrzos.jpg,CHAIRS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,IA104-RO,"16.5 Tall Water and Stain Resistant Boucle Upholstered Ottoman, Rust Orange",$ 72.99,http://images.salsify.com/image/upload/s--icQhHAem--/pvuzpxywhfxxzt7vpl86.jpg,OTTOMANS
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-CS-GY,"Outdoor Poly Adirondack Side Table, Gray",$ 37.99,http://images.salsify.com/image/upload/s--R6_F9NtG--/rmzbbdiis4nevqvswelf.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-CS-BK,"Outdoor Poly Adirondack Side Table, Black",$ 37.99,http://images.salsify.com/image/upload/s--qK8uS2jU--/n6ftlsl2wnafbno9aj8u.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,9815102,"20 in. Round Hard Plastic Free Standing Umbrella Base, Black",$ 38.99,http://images.salsify.com/image/upload/s--Ohyp6mML--/upwrz3t5kaypar6glnk6.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,9815102,"20 in. Round Hard Plastic Free Standing Umbrella Base, Black",$ 38.99,http://images.salsify.com/image/upload/s--Ohyp6mML--/upwrz3t5kaypar6glnk6.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP8001-WH,"Modern 18 Side Table,White",$ 48.99,http://images.salsify.com/image/upload/s--ZdFtgLEC--/ltlwzq1e6dob3fjcasxe.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP8001-WH,"Modern 18 Side Table,White",$ 48.99,http://images.salsify.com/image/upload/s--ZdFtgLEC--/ltlwzq1e6dob3fjcasxe.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP8003-DG,"Round 18 Side Table,Dark Green",$ 40.99,http://images.salsify.com/image/upload/s--qKmWi6DH--/pj0jeyfmhv4gevs60igy.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP8003-DG,"Round 18 Side Table,Dark Green",$ 40.99,http://images.salsify.com/image/upload/s--qKmWi6DH--/pj0jeyfmhv4gevs60igy.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP8003-DG,"Round 18 Side Table,Dark Green",$ 40.99,http://images.salsify.com/image/upload/s--qKmWi6DH--/pj0jeyfmhv4gevs60igy.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,OP6001-RD,"Outdoor Adirondack Chair, Red",$ 169.99,http://images.salsify.com/image/upload/s--l3klDaiG--/pduuphy8b9cjsaeqbr56.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-RC-SD,"Outdoor Rocking Poly Adirondack Chair, Sand",$ 170.99,http://images.salsify.com/image/upload/s--hOegEvBo--/kbr76uqyiwcs9ptuikl6.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001012,"Outdoor Folding Poly Adirondack Chair, Sand",$ 157.99,http://images.salsify.com/image/upload/s--kOUucHMU--/xtxts9t89uzwimgr8wii.jpg,OUTDOOR_FURNITURE
BR-344NWBEY,westin_outdoor,BR-344NWBEY,2001-RC-WH,"Outdoor Rocking Poly Adirondack Chair, White",$ 170.99,http://images.salsify.com/image/upload/s--tp948cR8--/ajfdprvo6skgrelpftyn.jpg,OUTDOOR_FURNITURE
